idInitiative,idTag
2,1
2,2
2,4
2,5
2,6
3,1
3,2
3,5
3,6
4,1
4,5
5,3
6,1
6,2
6,3
6,4
6,5
6,7
8,1
8,2
8,3
8,5
8,6
9,1
9,7
10,1
10,2
10,3
10,6
11,1
11,2
12,1
12,4
12,6
13,1
13,4
13,6
13,7
14,1
14,2
15,1
16,1
16,4
16,5
16,7
17,4
17,5
17,6
17,7
18,1
18,2
18,5
18,6
19,1
19,2
19,5
19,6
20,1
20,2
20,3
20,5
20,6
21,1
21,2
21,4
21,5
22,5
22,6
23,1
23,6
23,7
24,1
24,2
24,4
24,5
24,6
25,2
25,3
25,6
26,4
26,5
26,7
27,2
27,3
27,6
28,1
28,4
28,5
28,6
29,1
29,5
30,1
30,2
30,5
30,6
31,1
31,3
31,4
31,6
32,1
32,3
32,4
32,5
32,6
33,1
33,2
33,4
33,5
33,6
34,1
34,3
34,6
35,1
35,4
35,5
35,7
36,1
36,4
36,5
36,6
37,1
38,1
38,2
38,3
38,4
38,6
39,1
39,2
39,4
40,1
40,4
40,5
40,7
41,1
41,2
41,4
41,6
41,7
42,1
42,2
42,6
43,1
43,2
43,3
44,1
44,2
44,3
44,4
44,5
44,6
44,7
45,1
45,2
45,3
45,4
45,5
45,6
46,1
46,5
46,6
47,1
47,4
47,6
47,7
48,1
49,1
49,2
49,3
49,4
49,5
49,6
50,1
51,1
51,4
52,1
52,2
52,6
53,1
53,2
53,4
53,5
53,6
54,1
54,2
55,1
55,2
55,4
55,5
55,6
56,1
56,3
57,1
57,2
57,5
57,6
58,1
58,2
58,6
58,7
59,1
59,2
59,4
59,5
59,6
60,1
60,7
61,1
61,2
61,3
61,4
61,5
61,6
62,1
62,2
62,6
62,7
63,1
63,2
63,4
63,5
63,6
63,7
64,1
64,2
64,3
64,5
64,6
65,1
65,3
65,4
65,6
66,1
66,4
66,6
67,1
67,2
67,3
67,4
67,5
68,1
68,2
69,1
69,2
69,6
70,1
70,7
71,1
71,4
71,6
71,7
72,4
73,7
74,1
74,2
74,6
75,1
75,2
75,6
76,1
76,2
76,3
76,6
77,1
77,4
77,6
78,1
79,1
79,5
80,1
80,2
80,3
80,6
81,1
81,2
81,4
81,5
81,6
82,1
83,1
83,2
83,4
83,5
83,6
83,7
84,1
84,5
84,6
85,1
85,2
85,5
85,6
86,1
86,2
86,3
86,5
86,7
87,1
87,3
87,4
87,6
88,1
88,2
89,1
90,1
90,2
90,3
90,6
91,1
91,3
91,4
92,1
92,2
92,5
92,6
93,7
94,1
94,2
95,1
95,2
95,5
95,6
96,1
96,2
96,4
96,5
96,6
97,1
97,2
97,4
97,5
97,6
98,1
98,2
98,4
99,2
99,5
99,6
100,1
100,4
100,5
101,1
101,7
102,1
102,2
102,3
102,4
102,5
102,6
103,1
103,2
103,3
103,4
103,5
103,6
104,1
104,2
104,3
104,5
105,1
105,4
105,6
106,1
106,2
106,6
107,1
107,2
107,4
107,5
108,1
108,2
108,3
108,5
108,6
109,1
109,2
109,4
109,5
110,1
110,2
110,5
110,6
111,2
111,3
111,4
111,5
112,1
112,2
112,3
112,4
113,1
113,5
114,1
114,2
114,6
115,1
116,1
116,2
116,7
117,1
117,2
117,3
117,6
117,7
118,2
118,6
119,1
119,2
119,4
119,5
119,6
119,7
120,1
120,2
120,3
120,4
120,5
120,6
120,7
121,1
121,2
121,5
121,6
122,1
122,2
122,5
122,6
123,1
123,4
124,1
124,5
124,7
125,1
125,2
125,4
125,5
126,1
126,4
126,6
126,7
127,1
127,4
127,5
127,6
128,1
128,2
128,4
128,5
129,1
129,2
129,3
129,4
129,6
129,7
130,1
130,2
130,3
130,6
131,1
131,2
131,4
131,5
131,6
131,7
132,1
132,2
132,3
132,6
133,1
133,2
133,6
134,1
134,3
134,4
134,6
135,1
135,2
135,3
135,6
135,7
136,4
136,5
136,6
137,1
137,5
137,6
138,1
138,5
139,1
139,2
139,3
139,6
140,1
140,2
140,4
141,1
141,2
141,5
141,6
141,7
142,1
142,2
142,4
142,6
143,3
143,5
143,6
144,1
144,2
144,5
144,6
145,6
145,7
146,1
146,3
146,4
146,5
146,6
147,7
148,1
148,2
148,3
148,6
149,1
149,4
149,5
149,6
150,2
150,5
150,6
151,1
151,2
151,4
151,5
151,6
152,1
152,2
152,4
152,6
153,1
153,2
153,3
153,4
153,5
153,6
154,1
154,2
154,7
155,1
155,2
155,5
156,1
156,2
156,4
156,5
156,6
157,1
157,4
157,6
158,1
158,4
158,5
158,6
159,1
159,2
159,3
159,4
159,5
160,1
160,2
160,4
160,5
160,6
160,7
161,1
161,2
161,3
161,4
161,5
161,6
162,1
162,5
163,1
163,4
163,5
163,6
164,2
164,3
164,6
165,6
166,1
166,3
166,4
167,1
167,4
168,1
168,2
168,5
168,6
169,1
169,2
169,3
169,4
169,5
169,6
170,1
170,2
171,1
172,1
172,2
172,6
173,1
173,2
173,3
173,4
173,5
173,6
174,1
174,2
174,3
174,4
174,5
174,6
175,1
175,2
175,3
175,4
175,6
176,1
176,2
176,3
176,4
176,5
176,6
177,1
177,2
177,3
177,4
177,5
177,6
178,1
178,2
178,3
179,1
179,2
179,4
179,5
179,6
180,0
181,1
181,2
181,3
181,6
182,1
182,2
182,4
182,5
182,6
183,1
183,4
183,5
183,6
184,1
184,3
184,6
184,7
185,1
185,2
185,5
186,1
186,2
186,4
186,6
187,1
187,4
187,6
188,1
188,4
188,6
189,3
189,5
189,6
190,1
190,4
190,6
191,5
191,6
191,7
192,5
192,6
193,1
193,2
193,3
193,4
193,5
193,6
193,7
194,1
194,6
195,1
195,2
195,3
195,4
195,5
195,6
196,2
196,3
196,5
196,7
197,1
197,2
197,5
197,6
198,1
198,2
198,5
198,6
199,1
199,2
199,4
199,5
199,6
200,1
200,2
200,6
201,1
201,2
201,7
202,1
202,2
202,4
202,5
202,6
203,1
203,2
203,3
203,4
203,5
203,6
204,1
204,4
206,1
206,2
206,4
206,5
206,6
207,1
207,4
207,6
208,1
208,2
208,5
208,6
208,7
209,1
209,3
209,4
209,5
209,6
210,1
210,2
210,4
210,6
211,1
211,4
211,6
211,7
212,1
212,3
212,4
212,6
213,1
213,2
213,5
213,6
214,1
214,2
214,4
214,5
214,6
215,1
215,2
216,1
216,2
217,1
217,4
217,5
217,6
218,1
218,2
218,5
218,6
219,1
219,2
219,4
219,5
219,6
219,7
220,1
220,6
220,7
221,7
222,1
222,3
222,4
223,1
223,2
223,4
223,6
223,7
224,1
224,2
224,5
224,6
224,7
225,1
225,2
225,4
225,5
225,6
226,1
226,2
226,6
226,7
227,1
227,2
227,3
227,4
227,6
228,1
228,2
228,4
228,5
228,6
229,1
229,2
229,3
229,5
229,6
230,1
230,4
230,5
230,7
231,1
231,4
232,2
232,5
232,6
234,1
234,2
234,6
234,7
235,1
235,2
235,4
235,6
236,1
236,2
236,5
236,6
237,7
238,1
238,2
238,3
238,5
238,6
238,7
239,2
240,7
241,1
241,4
241,5
241,7
242,1
242,3
242,6
243,1
243,2
243,5
243,6
244,1
244,2
244,4
244,5
245,1
245,2
245,3
245,4
245,6
246,1
247,1
247,2
247,6
248,4
248,6
249,2
249,6
249,7
250,1
251,4
251,6
252,1
252,2
252,4
253,1
253,2
253,3
253,5
253,6
253,7
254,1
254,4
254,6
254,7
255,1
255,4
255,6
256,2
256,3
256,6
257,1
257,2
257,4
257,6
258,1
259,1
260,1
260,2
260,5
261,1
261,4
261,6
262,1
262,3
262,6
262,7
263,1
263,4
263,7
264,7
265,1
265,2
266,1
266,3
267,1
267,2
267,4
267,5
267,6
267,7
268,1
268,2
268,3
268,4
268,5
268,6
269,1
269,4
270,1
270,4
270,6
271,1
271,2
271,3
271,5
271,6
272,1
272,4
272,5
274,1
274,7
275,1
275,2
275,6
275,7
276,1
276,2
276,5
277,1
277,2
277,4
277,5
277,6
278,1
278,2
278,3
278,4
279,1
279,4
280,1
280,2
280,3
280,6
280,7
281,1
281,7
282,1
282,2
283,1
283,4
283,6
284,1
284,4
284,7
285,1
285,2
285,3
285,6
286,1
286,2
286,6
287,1
287,3
287,4
287,5
287,6
288,1
288,2
288,5
288,6
289,1
289,2
289,4
289,5
290,1
290,2
290,4
290,5
290,6
291,1
291,2
291,3
291,4
292,1
292,2
292,3
292,4
292,5
292,6
292,7
293,1
293,2
293,4
294,1
294,6
295,1
295,2
296,1
296,2
296,4
297,1
297,2
297,3
297,4
297,5
298,1
298,2
298,3
298,5
299,1
299,5
300,1
300,4
300,5
301,1
301,3
301,4
301,6
302,1
302,2
302,4
302,5
302,6
303,1
303,2
303,3
303,4
303,5
303,6
304,1
304,2
304,3
304,4
