NOMBRE,ORG TYPE
¿QuiénMeRepresenta?,6
"""PRESABIS"" Prevención, Salud y Bienestar Social",6
[VIC] Vivero de Iniciativas Ciudadanas,6
13 Media SC,1
180DATA,8
Abre Puerto Rico,8
Acción Ciudadana,6
Acción Colectiva,6
ACECCI - Associação Cearense de Combate à Corrupção e à Impunidade,6
ACIJ,8
ACM - SIM,6
ADA,8
AE EDG,7
Agencia Ecologista de Información Tegantai,6
"Agencia Metropolitana de Seguridad, Laboratorio de Políticas Públicas",4
Agenda Pública - Agência de Análise e Cooperação em Políticas Públicas,6
Agrupación Biósfera,6
Akredito,1
"ALAMPYME BR - Associação Latinoamericana de Micro, Pequenas e Médias Empresas Capítulo Brasil",6
Animal S. de R.L. de C.V,8
Aparabólica,1
Arede,8
"Arequipa, te queremos",6
Areta Valente Guimarães MEI,8
Ariel Cabezas,1
Arquitectura expandida,8
"Artículo 12, A.C. (programa “SonTusDatos”)",6
ARTIGO 19 BRASIL,6
Artnumerica,1
Asesorías e Inversiones Comunidades Ciudadanas S.A.,9
ASI - Asesores para la Inversión Social,9
Asociación Centro Ciudadano de Estudios para una Sociedad Abierta -ACCESA,6
Asociación Chilena de Protección de la Familia - APROFA,6
Asociación Chilena de Voluntarios,6
Asociación Civil Ernesto Shneider Troller,6
Asociación Civil Guatecambia,6
"Asociación Civil Japiqay, Memoria y Ciudadana",6
Asociación Civil para la Construcción de un Gobierno Abierto,6
Asociación Colectiva para la Defensa de los Derechos de las Mujeres en Guatemala -CODEFEM-,6
ASOCIACIÓN COLECTIVO MUJERES AL DERECHO “ASOCOLEMAD”,6
Asociación Ecológica de los Municipios de Santa Ana (ASEMUSA),8
Asociación Horizonte Positivo,6
Asociación Intermunicipal del Valle de Jiboa MIJIBOA,8
Asociación LATIn,3
"Asociación Nacional de Directores de Bibliotecas, Redes y Servicios de Información del Sector Académico, Universitario y de Investigación (ANABISAI)",6
Asociación Nacional para el Fomento de la Economia del Bien Común en Chile,6
Asociación Pro Arte,6
Asociación Transporte Ativo,6
Asociación Unacem,6
Associação Brasileira de Jornalismo Investigativo,6
Associação Casa Fluminense,6
Associação Comunitária de Bento Rodrigues,6
ASSOCIAÇÃO FÓRUM SUAPE ESPAÇO SOCIOAMBIENTAL,6
Associação Software Livre.Org,6
Associação Todos por Um (Tp1),6
Associated Whistleblowing Press,6
Asuntos del Sur,6
Atix Labs SRL,9
Atlas Smart Cities,1
ATRELAR S.A. (DynamizeIT),9
Avesso Sustentabilidade,9
Avina,8
Avisora,1
Banco Mundial,1
Beetec Inteligencia Colectiva,6
Bgood Smart Philanthropy,1
Blackbox Solutions y copropiedad,1
Bondiar,1
BORDE POLÍTICO A.C.,6
Brújula Turística,1
C230,9
Cainfo,6
Calhau Social,1
camaleon multimedia sas,9
Cámara de Comercio de Bogotá - CCB,6
"Campaña Global por la Libertad de Expresión A19, A.C.",6
"CAPITULO BOLIVIANO DE DERECHOS HUMANOS, DEMOCRACIA Y DESARROLLO",6
"Capítulo Chileno de Transparencia Internacional, Chile Transparente",6
Caribbean Open Institue,7
Cáritas Brasileira regional nordeste II,6
Casa Fluminense,6
CASS (Central America Software Services),9
Causa Natura A.C.,6
CCiudadano. Construcción y Articulación de lo Público/Centro de Investigaciones y Estudios en Antropología Social (CIESAS),8
"CEDAM-Cultura y Educación para el Desarrollo y la Autonomía en México, A.C.",6
CEDAPS - CENTRO DE PROMOÇÃO DA SAÚDE,6
CEMOPLAF,8
Central del Movimiento de Trabajadores Costarricenses -CMTC-,6
Centro Bicicultura,6
Centro de Assessoria Multiprofissional - CAMP,6
Centro de Desarrollo Sostenible,1
CENTRO DE EDUCAÇÃO E ASSESSORIA POPULAR MAURITI-CE,6
Centro de Empreendedorismo Universitario &Consultoria Ltda,9
Centro de Estudios Ambientales y Sociales (CEAMSO),6
"Centro de Estudios para la Equidad y Gobernanza En Los Sistemas de Salud, CEGSS",6
Centro de Estudos Avançados de Promoção Social e Ambiental - CEAPS / Projeto Saúde & Alegria,6
Centro de Formação e Organização Comunitária - CEFORC,6
"Centro de Innovación a la Vivienda (CIV), A.C.",6
Centro de Investigación Económica y Presupuestaria A.C.,6
Centro de Justicia y Paz - Cepaz,6
Centro de Liderança Pública,6
"Centro de los Derechos del Migrante, Inc.",6
Centro de Mídias Cívicas do MIT Media Lab,7
Centro de Participación y Ciudadanía - Ciudadanos al Día,6
Centro de pensamiento Estratégico Internacional - CEPEI,6
Centro de Promoción de la Mujer Gregoria Apaza- CPMGA,6
Centro de Promoción en Salud y Asistencia Familiar (CEPROSAF),6
Centro Eugenio Garza Sada,6
Centro Latinoamericano de Derechos Humanos,6
Centro para Programas de Comunicación Nicaragua (CPCNic),6
Centro Peruano para la Resiliencia de Socioecosistemas Urbanos - Centro Urbes,6
"Centro Profesional Indígena de Asesoría, Defensa y Traducción A.C.",6
Centro Universitario de Belo Horizonte - UniBh / ANIMA Educación,6
CheckUY,8
Chequeado,6
Chicas Poderosas,8
Chicas poderosas Chile,8
CIDE,8
CIEDS - Centro Integrado de Estudos e Programas de Desenvolvimento Sustentável,6
Cityflag SAPI de CV,1
Ciudad Viva,8
Ciudadan@s por la Transparencia A.C,6
Ciudadano Inteligente,8
Ciudadanos al Día,6
Cívica Digital,1
Civitatis Consultoria e Assessoria Educacional LTDA,9
CLETECI S.A,1
CNPI - Centro Nacional de Informatica,6
CobraCriada-#InteligênciaEmRede,1
CoCidade,6
Cocreamos S.A.S.,1
Code for the Caribbean,8
Codeando México,6
CODIUM,1
"Colaboratório de Desenvolvimento e Participação, Universidade de São Paulo",7
Colivre - Cooperativa de Tecnologias Livres,6
Colnodo – Asociación Colombiana de Organizaciones No Gubernamentales para la Comunicación Vía Correo Electrónico,6
Colombia en línea,4
Comite para la Democratización de la Informatica. CDI Colombia,6
Committee for a Better New Orleans/Comité por una mejor Nueva Orleans,6
Comunicación Corporativa de Centroamérica,9
Comunidad Huerta,1
Comunidades de Software Libre,8
COMUNIDEAS SAS,9
Conceptu Protótipos e Sistemas,1
Congreso Abierto Guatemala,8
Congreso Público,6
Congreso Transparente,8
CONSEJERIA JURIDICA Y DE SERVICIOS LEGALES DE LA CDMX,4
"Consejo Cívico de Instituciones de Nuevo León, A.C.",6
CONSEJO CIVICO DE VECINOS,6
Consejo de la Transparencia,4
Constructora Proyecto Propio,9
Contexto,6
Cooperativa Acá Comunicaciones,8
Cooperativa de Trabajo Tecnomática Limitada,6
Cooperativa Girasol de Cosumo Solidário,6
Cooperativa Sulá Batsú,6
Core Systems,9
Corporación Científicas de Datos,6
CORPORACION COBEII,6
Corporación Con Tacto Local,6
Corporación Control Social Colombia,6
"Corporación Integral de Innovación Social ""INNOVAR""",6
Corporación PRODEPAZ,6
corporación programa de desarrollo para la paz,6
Corporación Red Somos,6
Corporación Ruta N,8
Corporación Seamos - Democracia Digital,6
Corporación Somos Más,6
Corporación Transparencia por Colombia,6
Creapption,1
CreaThink,6
Creative Commons,8
creative commons ecuador,4
Cristian Damián Cazón,8
CSCR,1
Cultivando Futuro,1
culturadered,8
DAL,8
DATA Uruguay,6
Datalat,8
Datos Concepcion,1
datosabiertos.quito.gob.ec,8
DatosElSalvador,6
De La Azotea,1
DelPuerto Comunicaciones,9
Democracia & Desarrollo Internacional (D&D Internacional),6
Democracia en Red,6
Demokratio (Sparq Systems EIRL),1
"Departamento de Electrónica e Informática, Universidad Católica ""Ntra. Señora de la Asunción"", Paraguay",7
