Nombre de la organización,ID_org,Org Type
13 Media SC,450,1
180DATA,511,8
AbrePuertoRico,586,8
Acción Ciudadana ,354,6
Acción Colectiva,320,6
ACECCI - Associação Cearense de Combate à Corrupção e à Impunidade,419,6
ACIJ,94,8
ACM - SIM,451,6
ADA,513,8
AE EDG,197,7
Agencia Ecologista de Información Tegantai,405,6
"Agencia Metropolitana de Seguridad, Laboratorio de Políticas Públicas",277,4
Agenda Pública - Agência de Análise e Cooperação em Políticas Públicas,112,6
Agrupación Biósfera,411,6
Akredito,342,1
"ALAMPYME BR - Associação Latinoamericana de Micro, Pequenas e Médias Empresas Capítulo Brasil",471,6
"Alcalde, como vamos?",514,6
ANIMA Educación,612,6
Animal S. de R.L. de C.V,201,8
Aparabólica,416,1
APPCIVICO - EOKOE SOLUÇÕES TECNOLÓGICAS LTDA,184,1
Arede,515,8
"Arequipa, te queremos",118,6
Areta Valente Guimarães MEI,159,8
Ariel Cabezas,229,1
Arquitectura expandida,516,8
"Artículo 12, A.C. (programa “SonTusDatos”)",426,6
ARTIGO 19 BRASIL,177,6
Artnumerica ,475,1
Asesorías e Inversiones Comunidades Ciudadanas S.A.,143,9
ASI - Asesores para la Inversión Social,246,9
Asociación Centro Ciudadano de Estudios para una Sociedad Abierta -ACCESA ,189,6
Asociación Chilena de Protección de la Familia - APROFA,167,6
Asociación Chilena de Voluntarios,344,6
Asociación Civil Ernesto Shneider Troller,481,6
Asociación Civil Guatecambia,473,6
Asociación Civil Japiqay,40,6
Asociación Civil para la Construcción de un Gobierno Abierto,199,6
Asociación Colectiva para la Defensa de los Derechos de las Mujeres en Guatemala ,135,6
Asociación Colectivo Mujeres al Derecho,353,6
Asociación Ecológica de los Municipios de Santa Ana (ASEMUSA),38,8
Asociación Horizonte Positivo,284,6
Asociación Intermunicipal del Valle de Jiboa MIJIBOA,21,8
Asociación LATin,398,3
"Asociación Nacional de Directores de Bibliotecas, Redes y Servicios de Información del Sector Académico, Universitario y de Investigación (ANABISAI)",179,6
Asociación Nacional para el Fomento de la Economia del Bien Común en Chile,190,6
Asociación Pro Arte,458,6
Asociación Transporte Ativo,101,6
Asociación Unacem,293,6
Associação Brasileira de Jornalismo Investigativo,444,6
Associação Casa Fluminense,317,6
Associação Comunitária de Bento Rodrigues,358,6
Associação Fórum Suapoe Espaço Socioambiental ,233,6
Associação Software Livre.Org,304,6
Associação Todos por Um ,207,6
Associação Todos por Um (Tp1),207,6
Associated Whistleblowing Press,386,6
Asuntos del Sur,295,9
Atix Labs SRL,501,1
Atlas Smart Cities,454,
Avesso Sustentabilidade,225,9
AVINA,518,8
