idUnico,idInitiative,nameInitiative,nameOrg,idOrg,country,idCountry,city,idCity,latitude,longitude,rangoEmpleados,orgCount,projCount
22,2,Centro Cívico,Codeando México,2,México,51,Guadalajara,36,20.6596988,-103.3496092,0-5 personas,1,7
33,3,Comunaire ,Fundación Buena Nota,3,Colombia,35,Bogotá,13,4.7109886,-74.072092,0-5 personas,4,7
44,4,Suma+E,Lojasoft Solutions ,4,Ecuador,54,Loja,54,-4.0078909,-79.2112769,0-5 personas,2,7
55,5,Primera Unidad Latinoamericana De Periodismo De Datos,"Investigación E Innovación Factual, A.C.",5,México,51,Ciudad de México,22,19.4326077,-99.133208,6-10 personas,1,7
66,6,Desenvolvimiento De Tecnología Verde D,Centro Universitario De Belo Horizonte,6,Brasil,57,Belo Horizonte,11,-19.9172987,-43.9345593,6-10 personas,1,7
6612,6,Desenvolvimiento De Tecnología Verde D,Anima Educación,612,Brasil,58,Belo Horizonte,11,-19.9172987,-43.9345593,6-10 personas,1,7
88,8,Yo Propongo,Presabis,8,Bolivia,77,La Paz,48,-16.489689,-68.1192936,0-5 personas,1,7
99,9,"Conectando Mujeres, Conectando Oportunidades",Mkk Group,9,Bolivia,77,La Paz,48,-16.489689,-68.1192936,6-10 personas,1,1
1010,10,Transparencia Y Desarrollo Cívico En Ecuador,Fundación Ciudadanía Y Desarrollo Fcd,10,Ecuador,54,Quito,80,-0.1806532,-78.4678382,0-5 personas,1,2
1011,10,Transparencia Y Desarrollo Cívico En Ecuador,Datalat,11,Ecuador,54,Quito,80,-0.1806532,-78.4678382,6-10 personas,1,2
1112,11,Política En Contexto ,Contexto,12,Costa Rica,54,San José,87,-31.8970823,-61.8598807,0-5 personas,1,1
12543,12,Red Ciudadana De Monitoreo De La Calidad Del Aire,Universidad Industrial De Santander,543,Colombia,35,Bucaramanga,15,7.119349,-73.1227416,6-10 personas,1,1
12544,12,Red Ciudadana De Monitoreo De La Calidad Del Aire,"Esc. De Ingeniería Eléctrica, Electrónica Y De Telecomunicaciones ",544,México,51,Ciudad de México,22,19.4326077,-99.133208,0-5 personas,2,1
12554,12,Red Ciudadana De Monitoreo De La Calidad Del Aire,Grupo Cemos,554,México,51,Ciudad de México,22,19.4326077,-99.133208,6-10 personas,2,2
1214,12,Red Ciudadana De Monitoreo De La Calidad Del Aire,Grupo Cidic,14,México,51,Puebla,78,19.0414398,-98.2062727,0-5 personas,1,1
