NombreIniciativa,CantidadOrganizaciones,LineaFinanciamiento,ParticipacionCiudadana,TransparenciaRendicionCuentas,PeriodismoDatos,MapeoCiudadano,MonitoreoServiciosPublicos,UsoDatosAbiertos,OtraTematica,OrgNombreOrganizacion,OrgTipoOrganizacion,OrgPais,OrgCiudad,OrgWeb,OrgPrincipalAlinza,OrgDesarrolloPlataformasAplicativosTecnologicos,OrgVariosPaises,OrgSpinOffIncubacion,OrgParticipacionCiudadana,OrgTransparenciaRendicionCuentas,OrgParlamentoAbierto,OrgComprasPublicas,OrgPeriodismoDatos,OrgMapeoCiudadano,OrgMonitoreoServiciosPublicos,OrgOtraTematica,EscalamientoPlataformaExistente,AdaptacionPlataformaExistente,DesarrolloPlataformaNueva,Otros
Bikedash,1,Desarrollo de nuevas iniciativas,1,1,1,1,1,1,,Bikedash,Empresa privada (startup),Argentina,Capital Federal,,No,Sí,Si,No,1,0,0,0,0,1,1,,0,0,1,
"Centro Cívico, por Codeando México",1,Iniciativas ya existentes,1,1,0,1,1,1,,"Codeando México, A.C.",Organización civil sin fines de lucro,México,Guadalajara,http://www.codeandomexico.org,Sí,Sí,No,No,1,1,1,1,0,1,1,,1,0,0,
Comunaire ,1,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Fundación Buena Nota,Organización civil sin fines de lucro,Colombia,Bogotá,www.buenanota.org,Sí,No,Si,No,1,0,0,0,1,0,0,movilización social,0,0,1,
AppCesible,1,Desarrollo de nuevas iniciativas,1,0,1,1,1,1,Calidad de atención ciudadana segregada y de no inclusión social.,FUNDACIÓN PARA LAS BUENAS PRÁCTICAS DE LA INTERNET Y LAS TECNOLGÍAS - FUNDABIT,Fundación internacional,Colombia,Medellín,http://fundacionbit.org/,Sí,Sí,Si,No,1,0,1,0,0,1,1,,0,1,1,
Monitor de Metas,1,Desarrollo de nuevas iniciativas,1,1,0,0,1,1,,Núcleo Digital,Empresa privada (no incluye startup),Brasil,São Paulo,www.nucleodigital.cc,Sí,Sí,No,No,1,1,1,0,1,1,1,"Criptomoedas, Transformação Digital, Ativismo",1,1,0,
Primera Unidad Latinoamericana de Periodismo de Datos,1,Desarrollo de nuevas iniciativas,0,0,1,0,0,0,,"Investigación e Innovación Factual, A.C.",Organización civil sin fines de lucro,México,Ciudad de México,https://www.factual.com.mx/,Sí,No,Si,No,1,0,0,0,0,1,0,,0,0,1,
Planeadores Ciudadanos,2,Desarrollo de nuevas iniciativas,1,1,0,1,1,1,,Fundacion Buena Nota,Organización civil sin fines de lucro,Colombia,Bogotá,www.buenanota.org,Sí,No,Si,No,1,0,0,0,1,0,0,Movilización social,0,0,1,
Planeadores Ciudadanos,2,Desarrollo de nuevas iniciativas,1,1,0,1,1,1,,Fundación BIT,Organización civil sin fines de lucro,Colombia,Medellín,http://fundacionbit.org/,No,Sí,Si,No,1,0,1,0,0,1,1,,0,0,1,
Politikei - co-governança no legislativo,1,Desarrollo de nuevas iniciativas,1,0,0,0,0,1,,Politikei - co-governança no legislativo,Organización civil sin fines de lucro,Brasil,Curitiba,http://institutolegado.org/,Sí,No,No,No,1,0,1,0,0,0,0,,0,0,1,
Plataforma de organización y comunicación de agrupaciones ciudadanas  SUMA+E,1,Desarrollo de nuevas iniciativas,1,0,0,0,1,0,,LojaSoft Solutions,Empresa privada (startup),Ecuador,Loja,www.lojasoftsolutions.com.ec,Sí,Sí,No,Si,1,0,0,0,0,0,0,Educación y medio ambiente,0,0,1,
Fortalecimiento civico y comunitario por expertos sociales ,1,Desarrollo de nuevas iniciativas,1,0,0,1,0,1,vinculo ciudadanía sociedad civil organizada para el fortalecimiento comunitario ,Olmeca Soy ,Organización civil sin fines de lucro,México,Ciudad de México,https://www.olmecasoy.org/ y www.expertosociales.org ,Sí,Sí,No,No,1,0,0,0,0,1,0,diagnósticos comunitarios ,0,0,1,
